"","docname","Segment","WC","WPS","Sixltr","Dic","Funct","TotPron","PronPer","Yo","Nosotro","TuUtd","ElElla","Ellos","PronImp","Articulo","Verbos","VerbAux","Pasado","Present","Futuro","Adverb","Prepos","Conjunc","Negacio","Cuantif","Numeros","Maldec","verbYO","verbTU","verbNOS","verbosEL","verbELLOS","Subjuntiv","VosUtds","formal","informal","verbVos","Social","Familia","Amigos","Humanos","Afect","EmoPos","EmoNeg","Ansiedad","Enfado","Triste","MecCog","Insight","Causa","Discrep","Tentat","Certeza","Inhib","Incl","Excl","Percept","Ver","Oir","Sentir","Biolog","Cuerpo","Salud","Sexual","Ingerir","Relativ","Movim","Espacio","Tiempo","Trabajo","Logro","Placer","Hogar","Dinero","Relig","Muerte","Asentir","NoFluen","Relleno","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP"
"85","text85",85,719,26.6296296296296,"32.55","264.1","32.8125","16.6090","8.4958","0.0000","0.85167","0.0000","7.1253","2.05224","1.7015","26.1421","27.8810","2.3438","0.9238","17.9625","0.0000","30.4762","38.014","9.1429","1.4235","7.7295","2.5641","0.0000","1.1429","0.0000","0.3090","2.7027","1.4706","2.1429","0.1100","0.00000","0.0000","0.00000","16.0542","0.9646","0.04975","2.5126","10.0917","1.6878","1.0692","0.08450","5.75916","0.8333","44.681","10.5769","0.36570","0.51975","5.2941","4.2155","0.21583","3.4504","4.1916","3.3865","0.1391","0.3559","0.06752","0.87753","0.750","1.86916","0.37152","1.13507","16.620","2.8571","7.4899","4.416","10.5820","4.2735","0.35180","0.11403","0.3663","0.67568","0.59970","1.9763","0.00000","0","8.623","3.616","4.172","0.13908","0.00000","0.00000","0.00000","0.69541","0.00000","0.00000","0","7.928"
"86","text86",86,147,29.4,"34.69","240.1","6.2500","3.4602","1.6713","0.0000","0.14194","0.0000","1.4742","0.18657","0.3889","6.8528","4.0892","0.1953","0.6928","1.8767","0.0000","2.8571","6.849","0.9524","0.1779","0.9662","0.4274","0.0000","0.0000","0.0000","0.0000","0.3003","0.0000","0.3571","0.0000","0.00000","0.0000","0.00000","2.5145","0.0000","0.00000","0.3350","2.1407","0.5626","0.1527","0.00000","0.52356","0.4167","8.207","2.4038","0.00000","0.20790","0.2941","0.9368","0.21583","0.5448","0.0000","0.7968","0.0000","0.3559","0.00000","0.11446","0.250","0.31153","0.00000","0.11351","4.507","1.0390","1.4170","2.208","3.1746","0.8547","0.00000","0.11403","0.5495","0.67568","0.00000","0.3953","0.00000","0","8.844","3.401","4.082","0.00000","0.00000","0.00000","0.00000","1.36054","0.00000","0.00000","0","7.483"
"87","text87",87,281,35.125,"33.10","226.7","12.8676","5.0173","1.9499","0.0000","0.07097","0.0000","1.7199","0.74627","0.7292","8.8832","7.0632","0.0000","1.3857","2.9491","0.0000","2.8571","21.233","2.2857","0.1779","1.9324","2.5641","0.0000","0.0000","0.0000","0.0000","0.3003","0.1634","0.1786","0.0000","0.00000","0.0000","0.00000","3.6750","0.3215","0.09950","0.1675","4.5872","1.8284","0.2037","0.00000","0.52356","0.0000","14.286","1.9231","0.08127","0.41580","1.7647","0.7026","0.14388","1.5738","1.1976","0.5976","0.0000","0.0000","0.00000","0.41969","2.000","2.49221","0.00000","0.11351","7.042","0.5195","3.6437","1.893","3.7037","0.8547","0.17590","0.22805","0.1832","0.00000","0.07496","0.0000","0.00000","0","7.829","2.847","3.915","0.00000","0.00000","0.00000","0.00000","1.06762","0.00000","0.00000","0","6.762"
"88","text88",88,1481,40.027027027027,"36.53","245.6","66.3603","32.6990","18.1058","0.1145","0.49681","3.2258","15.3563","3.91791","2.8683","54.3147","41.6357","2.1484","7.6212","15.5496","0.2092","33.3333","95.205","12.1905","1.0676","13.5266","3.8462","0.0000","2.0000","0.0000","0.1854","1.9520","0.6536","4.4643","0.2200","0.09251","0.0000","0.00000","23.7911","0.9646","0.29851","1.1725","23.2416","6.3291","1.9348","0.21124","11.51832","2.5000","79.939","21.6346","0.93458","0.93555","7.0588","5.1522","0.71942","7.4455","6.2874","5.5777","0.9736","0.3559","0.98253","0.76307","1.000","1.55763","0.43344","0.90806","45.352","6.2338","18.4211","18.297","31.2169","11.1111","0.70361","0.34208","2.1978","2.36486","1.27436","1.9763","0.00000","0","9.656","2.566","6.280","0.06752","0.00000","0.00000","0.13504","0.33761","0.13504","0.00000","0","9.318"
"89","text89",89,916,19.4893617021277,"35.26","242.4","40.3493","18.3391","12.1170","0.0000","0.07097","3.2258","10.3194","3.07836","0.9237","33.2487","23.0483","0.5859","5.3118","7.7748","0.0000","34.2857","53.082","12.1905","0.8897","7.2464","5.9829","0.0000","1.1429","0.0000","0.0618","0.9009","0.4530","1.0714","0.1100","0.00000","0.0000","0.00000","15.0870","0.3215","0.04975","1.0050","12.5382","2.9536","1.2220","0.04225","7.32984","0.8333","49.544","12.5000","0.73141","0.62370","3.2353","3.7471","0.35971","4.6005","4.1916","3.9841","0.5563","0.7117","0.21834","0.87753","1.500","1.55763","0.18576","1.24858","26.761","3.3766","9.7166","11.987","16.9312","6.6239","0.61566","0.45610","0.9158","1.35135","0.97451","0.3953","0.00000","0","11.135","5.022","5.568","0.10917","0.00000","0.00000","0.10917","0.10917","0.00000","0.00000","0","11.026"
"90","text90",90,2621,60.953488372093,"31.82","266.7","121.8750","61.9377","29.1086","0.0000","1.56139","0.0000","24.9386","5.03731","7.2436","104.8223","99.2565","4.4922","7.1594","51.7426","0.6276","74.2857","147.260","25.7143","4.9822","28.9855","9.4017","0.0000","2.5714","0.0000","0.4944","6.4565","1.9253","8.7500","0.2200","0.00000","0.0000","0.00000","44.1006","0.3215","0.49751","3.1826","48.3180","12.9395","4.0224","0.38023","27.22513","4.5833","169.605","27.4038","2.27550","2.70270","15.5882","11.9438","1.65468","26.6756","9.2814","11.1554","1.1127","4.9822","1.09170","1.60244","4.250","3.73832","0.30960","2.15664","88.169","18.1818","33.1984","31.546","49.7354","20.9402","2.55057","1.48233","5.4945","5.06757","1.94903","2.7668","0.00000","0","9.386","1.526","6.105","0.11446","0.53415","0.03815","0.07631","0.19077","0.68676","0.00000","0","8.508"
"91","text91",91,69,69,"36.23","265.2","3.1250","1.5571","0.8357","0.0000","0.00000","0.0000","0.7371","0.00000","0.1458","4.3147","1.8587","0.0000","0.6928","0.8043","0.0000","0.9524","3.082","0.7619","0.1779","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.1502","0.0000","0.1786","0.0000","0.00000","0.0000","0.00000","0.7737","0.0000","0.00000","0.1675","1.2232","0.7032","0.1018","0.00000","0.52356","0.0000","5.775","1.4423","0.08127","0.10395","0.0000","0.9368","0.00000","0.8043","0.0000","0.0000","0.0000","0.0000","0.00000","0.00000","0.000","0.00000","0.00000","0.00000","2.535","0.5195","1.0121","1.262","0.5291","0.4274","0.00000","0.00000","0.3663","0.33784","0.00000","0.7905","0.00000","0","11.594","1.449","10.145","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0","11.594"
"92","text92",92,400,30.7692307692308,"26.25","212.2","15.7169","6.0554","2.9248","0.0000","0.07097","6.4516","2.3342","0.37313","0.6806","16.2437","12.2677","0.5859","2.7714","4.5576","0.1046","7.6190","18.836","3.0476","0.5338","2.8986","2.5641","0.0000","0.8571","0.0000","0.0618","1.2012","0.2265","1.2500","0.0000","0.00000","0.0000","0.00000","5.4159","0.0000","0.00000","0.1675","3.9755","1.2658","0.4073","0.00000","3.14136","0.8333","15.805","3.8462","0.12190","0.51975","2.9412","0.4684","0.07194","3.2172","1.1976","1.1952","0.5563","0.7117","0.00000","0.19077","0.750","0.62305","0.00000","0.00000","15.493","4.6753","5.8704","4.732","2.6455","0.6410","0.17590","0.00000","0.3663","1.01351","0.37481","0.7905","0.00000","0","17.250","4.250","6.250","2.00000","1.25000","0.00000","0.00000","1.25000","1.50000","0.25000","0","14.000"
"93","text93",93,321,14.5909090909091,"33.64","270.7","13.7868","8.4775","4.8747","0.0000","0.00000","0.0000","4.1769","1.86567","0.6806","9.1371","11.8959","0.3906","1.3857","5.3619","0.0000","8.5714","15.068","3.6190","0.3559","4.3478","1.7094","0.0000","0.5714","0.0000","0.0618","0.7508","0.0000","1.0714","0.1100","0.00000","0.0000","0.00000","9.2843","0.3215","0.09950","0.8375","8.2569","3.0942","0.5092","0.08450","2.09424","0.8333","19.149","6.2500","0.14545","0.10395","1.7647","1.8735","0.28777","3.8874","0.0000","0.5976","0.1391","0.0000","0.10917","0.11446","0.250","0.31153","0.00000","0.22701","9.296","1.2987","3.8462","3.785","6.8783","3.2051","0.08795","0.11403","0.0000","0.67568","0.37481","0.7905","0.00000","0","15.888","6.854","8.723","0.00000","0.00000","0.00000","0.00000","0.31153","0.00000","0.00000","0","15.576"
"94","text94",94,4293,31.3357664233577,"32.42","243.6","195.1287","95.1557","45.5432","0.0000","3.54862","12.9032","39.0663","6.43657","10.8410","182.9949","147.9554","11.3281","8.3141","87.3995","1.2552","124.7619","238.014","37.9048","9.0747","28.0193","30.7692","3.3816","5.7143","0.0000","1.1743","18.3183","3.6240","10.7143","0.5501","0.00000","0.0000","0.00000","63.6364","2.8939","0.44776","6.8677","64.5260","17.7215","4.9898","0.46472","30.89005","4.5833","220.365","33.1731","4.94545","4.78170","11.7647","12.1780","0.79137","39.6783","14.9701","16.7331","1.9471","6.0498","1.85590","2.97596","8.250","3.42679","0.74303","3.63224","114.648","14.8052","59.9190","23.659","62.4339","20.0855","2.19877","3.29114","12.4542","7.77027","1.79910","5.1383","0.09597","0","11.297","3.261","5.660","0.23294","0.34941","0.06988","0.06988","0.30282","0.51246","0.00000","0","10.063"
"95","text95",95,1615,35.1086956521739,"31.70","257.9","75.6434","38.7543","19.4986","0.0000","0.35486","3.2258","16.5848","4.85075","4.0836","59.8985","57.6208","2.1484","12.2402","21.1796","0.4184","60.0000","39.065","13.9048","1.9573","17.3913","9.8291","0.0000","3.7143","0.0000","0.0618","6.1562","0.7928","3.0357","0.1100","0.00000","0.0000","0.00000","30.1741","2.5723","0.49751","1.3400","27.5229","6.8917","2.2912","0.08450","8.90052","5.0000","83.587","21.1538","1.96364","0.62370","4.4118","6.0890","0.43165","15.5496","5.6886","7.3705","0.5563","2.8470","0.76419","0.83937","1.750","2.18069","0.06192","1.36209","47.042","5.9740","18.2186","20.189","41.7989","18.5897","0.70361","0.75949","2.3810","0.33784","0.82459","4.3478","0.00000","0","11.146","3.653","6.068","0.06192","0.00000","0.06192","0.00000","0.12384","0.86687","0.00000","0","10.031"
"96","text96",96,685,48.9285714285714,"31.97","224.4","30.2390","13.1488","5.7103","0.0000","0.00000","3.2258","4.9140","1.21269","1.7015","25.3807","20.0743","0.3906","4.8499","5.3619","0.1046","21.9048","15.681","4.5714","1.2456","10.1449","4.7009","0.4831","2.0000","0.0000","0.0618","2.4024","0.7928","0.5357","0.1100","0.00000","0.0000","0.00000","10.0580","1.2862","0.14925","0.6700","7.6453","1.4065","0.7637","0.00000","4.71204","1.2500","33.435","4.3269","0.58182","0.31185","1.1765","2.8103","0.07194","6.5684","1.7964","1.9920","0.0000","1.0676","0.21834","0.57230","1.750","0.62305","0.12384","0.68104","17.465","2.0779","5.8704","8.517","11.1111","4.4872","0.35180","1.01266","0.5495","2.02703","0.67466","0.0000","0.00000","0","14.015","2.044","8.175","0.58394","0.14599","0.00000","0.00000","0.14599","1.16788","0.00000","0","10.949"
"97","text97",97,881,30.3793103448276,"33.48","225.9","38.6949","13.1488","7.2423","0.1145","0.49681","0.0000","5.8968","1.11940","1.1667","35.7868","25.2788","0.3906","6.6975","8.8472","0.1046","23.8095","21.733","9.7143","0.7117","6.7633","6.4103","0.0000","1.1429","0.0000","0.0000","1.6517","0.7928","1.6071","0.0000","0.00000","0.0000","0.00000","11.6054","0.6431","0.19900","1.5075","9.7859","2.8129","0.7128","0.09528","5.23560","0.4167","41.033","9.1346","0.94545","0.31185","3.2353","2.1077","0.50360","9.2493","2.9940","3.9841","0.2782","2.4911","0.10917","0.64861","0.750","2.49221","0.00000","0.68104","27.887","4.4156","30.7692","10.726","16.4021","5.1282","0.52770","0.75949","0.3663","1.68919","0.29985","0.7905","0.00000","0","11.351","3.519","5.902","0.00000","0.00000","0.00000","0.00000","0.56754","0.68104","0.00000","0","9.421"
"98","text98",98,355,32.2727272727273,"34.65","232.1","15.7169","7.0934","4.0390","0.0000","0.35486","0.0000","3.5627","0.74627","0.5834","14.7208","10.4089","0.1575","1.8476","4.2895","0.0000","3.8095","9.216","3.2381","0.0000","1.4493","1.7094","0.0000","0.0000","0.0000","0.0618","0.1502","0.0000","1.2500","0.0000","0.00000","0.0000","0.00000","6.1896","0.0000","0.00000","0.0000","4.2813","0.9845","0.2546","0.00000","2.61780","0.0000","16.717","6.2500","0.36364","0.00000","0.2941","0.9368","0.07194","4.8257","0.2994","0.7968","0.1391","0.7117","0.00000","0.07631","0.250","0.00000","0.00000","0.22701","11.831","2.5974","12.0879","5.363","8.4656","1.9231","0.17590","0.75949","0.1832","0.33784","0.00000","0.0000","0.00000","0","13.239","4.225","6.479","0.28169","0.00000","0.00000","0.28169","0.84507","0.56338","0.00000","0","11.268"
"99","text99",99,312,22.2857142857143,"31.09","236.5","12.5000","5.8824","2.6462","0.0000","0.14194","0.0000","2.3342","0.27985","0.7292","10.1523","10.0372","0.6299","0.0000","6.1662","0.0000","9.5238","6.327","3.2381","1.2456","5.7971","1.2821","0.0000","0.5714","0.0000","0.0000","1.8018","0.1133","0.8929","0.0000","0.00000","0.0000","0.00000","4.4487","0.0000","0.00000","0.1675","7.6453","1.2658","0.6619","0.09528","4.18848","0.8333","17.325","4.3269","0.14545","0.20790","2.0588","1.8735","0.07194","2.8150","1.7964","0.7968","0.2782","0.7117","0.00000","0.11446","0.750","0.00000","0.00000","0.00000","7.042","1.8182","7.6923","1.893","11.1111","1.9231","0.00000","0.25316","0.3663","0.33784","0.29985","0.3953","0.00000","0","9.295","4.487","1.923","0.64103","0.00000","0.00000","0.00000","0.96154","0.64103","0.00000","0","7.051"
"100","text100",100,385,16.0416666666667,"33.77","249.4","17.8309","9.3426","5.5710","0.0000","0.07097","0.0000","4.7912","1.58582","0.6806","14.2132","11.8959","0.6299","2.5404","5.3619","0.0000","9.5238","8.941","3.2381","0.0000","6.7633","2.5641","0.4831","0.5714","0.0000","0.0000","0.7508","0.2265","0.3571","0.0000","0.00000","0.0000","0.00000","8.7041","0.0000","0.00000","0.3350","5.5046","1.5471","0.4582","0.09528","1.04712","0.8333","23.404","6.7308","0.21818","0.10395","1.7647","2.1077","0.14388","3.7534","0.5988","1.5936","0.0000","1.7794","0.21834","0.26707","1.250","0.02329","0.00000","0.11351","9.014","1.2987","9.8901","3.785","2.6455","2.1368","0.43975","0.00000","0.3663","0.00000","0.07496","0.7905","0.00000","0","10.390","6.234","3.896","0.00000","0.00000","0.00000","0.00000","0.25974","0.00000","0.00000","0","10.130"
"101","text101",101,494,30.875,"34.41","249.0","22.4265","12.9758","6.1281","0.0000","0.56778","0.0000","5.7366","0.55970","1.5070","19.5431","17.4721","1.1024","1.3857","7.7748","0.1046","7.6190","11.967","4.5714","0.0000","4.3478","0.0000","0.0000","0.2857","0.0000","0.4944","0.9009","0.3398","0.3571","0.0000","0.00000","0.0000","0.00000","10.8317","0.0000","0.60423","0.6700","10.0917","3.0942","0.5601","0.04764","3.14136","0.0000","28.875","6.2500","0.58182","0.31185","2.0588","1.8735","0.00000","6.4343","0.2994","1.3944","0.2782","0.7117","0.00000","0.03815","0.000","0.00000","0.00000","0.11351","12.676","2.3377","14.8352","3.785","9.5238","2.9915","0.26385","0.00000","0.3663","0.00000","0.07496","0.3953","0.00000","0","9.717","3.644","4.858","0.40486","0.00000","0.00000","0.00000","0.80972","0.00000","0.00000","0","8.907"
"102","text102",102,182,20.2222222222222,"37.91","225.8","6.9853","1.9031","1.1142","0.0000","0.21292","0.0000","1.0430","0.09328","0.1458","6.3452","5.5762","0.0000","0.6928","3.2172","0.0000","1.9048","3.714","2.4762","0.0000","2.8986","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.1133","0.7143","0.0000","0.00000","0.0000","0.00000","3.4816","0.6431","0.60423","0.5025","2.7523","1.2658","0.0000","0.00000","0.00000","0.0000","10.030","0.4808","0.00000","0.00000","0.2941","0.0000","0.00000","3.0831","0.5988","1.1952","0.0000","0.0000","0.54585","0.11446","0.250","0.00000","0.12384","0.00000","6.479","1.2987","6.0440","2.524","6.8783","2.3504","0.00000","0.00000","0.1832","0.33784","0.00000","0.0000","0.00000","0","14.835","4.945","7.692","0.00000","0.54945","0.00000","0.00000","0.54945","1.09890","0.00000","0","13.187"
"103","text103",103,317,18.6470588235294,"30.60","245.4","13.7868","6.9204","3.4819","0.0000","0.07097","0.0000","3.2595","0.55970","0.7292","13.1980","8.9219","0.3150","0.2309","5.0938","0.0000","6.6667","6.878","2.6667","0.3559","2.8986","1.2821","0.0000","0.2857","0.0000","0.1236","0.4505","0.2265","0.8929","0.0000","0.00000","0.0000","0.00000","3.2882","0.3215","0.00000","0.6700","6.7278","1.9691","0.4582","0.04764","2.61780","0.4167","19.757","5.7692","0.65455","0.51975","2.0588","1.4052","0.00000","3.2172","0.8982","0.9960","0.6803","0.7117","0.10917","0.30523","1.250","0.04659","0.00000","0.11351","7.887","1.2987","8.7912","2.208","3.1746","1.7094","0.35180","0.00000","0.9158","4.05405","0.07496","0.3953","0.00000","0","7.571","5.047","2.208","0.00000","0.00000","0.00000","0.00000","0.31546","0.00000","0.00000","0","7.256"
"104","text104",104,487,28.6470588235294,"29.57","261.4","23.3456","7.0229","4.1783","0.0000","0.42583","0.0000","3.7810","0.65299","0.7778","20.5584","16.7286","0.9449","1.3857","9.9196","0.1046","10.4762","13.893","5.3333","0.8897","1.9324","2.5641","0.0000","2.0000","0.0000","0.1236","1.6517","0.2265","2.3214","0.0000","0.00000","0.0000","0.00000","9.8646","0.9646","0.30211","2.5126","11.0092","2.2504","0.9674","0.09528","7.32984","0.4167","24.924","7.6923","0.58182","0.51975","3.2353","1.8735","0.14388","4.1555","3.2934","1.7928","1.3605","0.3559","0.21834","0.41969","0.750","0.02329","0.49536","0.34052","13.521","1.2987","15.9341","5.047","11.6402","3.2051","0.26385","0.75949","0.1832","0.33784","0.07496","1.1858","0.00000","0","11.088","3.696","6.982","0.00000","0.00000","0.00000","0.00000","0.41068","0.00000","0.00000","0","10.678"
"105","text105",105,189,31.5,"25.40","242.9","8.7316","3.5115","2.5070","0.0000","0.07097","0.0000","2.3468","0.55970","0.2431","8.3756","3.7175","0.0000","0.2309","1.8767","0.0000","3.8095","5.227","1.3333","0.1779","0.9662","0.4274","0.0000","0.2857","0.0000","0.0000","0.1502","0.1133","0.5357","0.0000","0.00000","0.0000","0.00000","3.8685","0.0000","0.00000","0.6700","3.9755","1.4065","0.1018","0.00000","0.52356","0.0000","6.991","0.9615","0.29091","0.00000","0.2941","0.7026","0.00000","1.6086","1.1976","0.9960","0.6803","0.7117","0.21834","0.15261","0.500","0.00000","0.12384","0.00000","6.761","0.7792","7.6923","2.524","3.1746","1.4957","0.26385","0.00000","0.0000","0.33784","0.00000","0.0000","0.00000","0","11.640","3.175","7.937","0.00000","0.00000","0.00000","0.00000","0.52910","0.00000","0.00000","0","11.111"
"106","text106",106,468,31.2,"32.48","270.7","21.8750","10.8397","6.4067","0.0000","0.07097","3.2258","5.6063","1.30597","1.2154","18.2741","19.3309","0.7874","3.0023","8.5791","0.0000","5.7143","11.829","4.5714","0.1779","7.2464","2.1368","0.0000","1.4286","0.0000","0.3736","1.8018","0.2265","1.7857","0.0000","0.00000","0.0000","0.00000","10.0580","0.3215","0.30211","0.5025","6.7278","1.2658","0.6619","0.00000","6.28272","0.0000","22.796","1.9231","0.50909","0.20790","2.9412","0.4214","0.07194","4.8257","2.6946","2.1912","0.6803","1.0676","0.21834","0.26707","1.000","0.00000","0.12384","0.34052","13.803","2.0779","14.2857","5.678","19.5767","6.8376","0.43975","0.00000","1.2821","0.67568","0.07496","0.0000","0.00000","0","8.333","3.419","4.701","0.00000","0.00000","0.00000","0.00000","0.21368","0.00000","0.00000","0","8.120"
"107","text107",107,751,41.7222222222222,"33.42","263.5","33.9154","15.8779","8.6351","0.0000","0.21292","0.0000","8.0834","1.11940","2.0418","32.7411","24.1636","1.2598","1.1547","14.7453","0.1046","21.9048","16.231","6.8571","0.5338","8.2126","2.5641","0.0000","0.5714","0.0000","0.1245","1.6517","0.6795","2.3214","0.0000","0.00000","0.0000","0.00000","11.9923","0.3215","0.00000","0.5025","13.4557","4.5007","0.9674","0.04764","6.80628","1.2500","50.456","10.5769","0.72727","1.03950","2.0588","1.0535","0.21583","7.6408","2.3952","3.1873","2.7211","0.0000","0.10917","0.61045","0.000","0.09317","0.06192","1.36209","24.789","5.1948","26.9231","9.148","15.3439","7.0513","1.23131","1.26582","1.4652","0.33784","0.41322","2.3715","0.00000","0","7.989","2.264","3.329","0.13316","1.33156","0.00000","0.13316","0.66578","0.00000","0.00000","0","7.324"
"108","text108",108,1137,39.2068965517241,"35.09","265.2","51.8382","26.8702","14.3454","0.0000","0.70972","6.4516","13.0378","1.77239","3.5489","45.1777","46.0967","2.6772","3.6952","24.6649","0.2092","28.5714","24.209","14.4762","1.0676","11.2150","2.5641","0.0000","2.0000","0.0000","0.6227","3.4535","0.7928","3.5714","0.3300","0.30722","0.0000","0.00000","18.9555","0.6431","0.90634","1.5075","20.7951","4.5007","1.7821","0.33349","10.47120","1.2500","78.116","16.3462","1.38182","1.24740","7.6471","1.0114","0.28777","12.6005","5.3892","3.7849","1.3605","0.3559","0.21834","0.61045","0.750","0.04659","0.30960","1.24858","30.423","5.9740","37.3626","6.309","17.4603","8.5470","0.87951","1.26582","1.8315","0.00000","1.13636","0.0000","0.00000","0","10.202","2.551","6.596","0.00000","0.00000","0.00000","0.00000","0.52770","0.52770","0.00000","0","9.675"
"109","text109",109,877,51.5882352941176,"32.04","258.6","40.6250","18.7786","11.0028","0.0000","0.49681","0.0000","10.2999","1.30597","2.1390","38.8325","29.7398","0.3150","1.3857","16.0858","0.3138","16.1905","19.532","10.0952","0.3559","8.8785","2.5641","0.0000","0.5714","0.0000","0.1245","1.5015","0.3398","1.6071","0.0000","0.00000","0.0000","0.00000","15.2805","0.9646","0.60423","2.3451","19.8777","5.4852","1.3747","0.04764","9.94764","0.4167","33.398","8.1731","0.80000","0.51975","3.2353","0.5057","0.71942","10.1877","2.0958","2.5896","0.0000","0.7117","0.21834","0.53415","1.000","0.06988","0.06192","1.24858","24.789","3.3766","27.4725","8.517","24.8677","9.4017","0.35180","1.51899","1.4652","0.67568","0.10331","0.3953","0.00000","0","7.754","2.052","3.877","0.11403","1.36830","0.00000","0.00000","0.34208","0.00000","0.00000","0","7.412"
"110","text110",110,395,26.3333333333333,"35.19","242.8","17.3713","5.8015","2.3677","0.0000","0.63875","0.0000","2.2164","0.27985","1.0209","13.9594","14.1264","0.6299","0.6928","8.3110","0.1046","10.4762","9.629","4.3810","0.0000","5.1402","0.4274","0.0000","0.2857","0.0000","0.4981","0.6006","0.2265","0.7143","0.0000","0.00000","0.0000","0.00000","9.0909","0.0000","0.30211","0.6700","6.4220","1.5471","0.4582","0.19057","1.57068","0.0000","15.340","3.3654","0.72727","0.20790","0.0000","0.5057","0.00000","4.9598","0.2994","1.7928","0.6803","0.7117","0.00000","0.30523","0.750","0.00000","0.00000","0.56754","10.704","2.3377","8.7912","5.363","8.9947","2.2636","0.61566","1.01266","0.1832","0.00000","0.00000","0.0000","0.00000","0","11.392","3.544","6.329","0.50633","0.00000","0.00000","0.25316","0.50633","0.00000","0.00000","0","10.886"
"111","text111",111,546,32.1176470588235,"29.67","237.0","24.9081","10.9924","6.8245","0.1145","0.07097","0.0000","6.1278","1.77239","1.1181","22.3350","12.6394","0.7874","1.6166","5.3619","0.0000","6.6667","13.343","3.2381","0.0000","6.0748","6.4103","0.4831","1.4286","0.0000","0.0000","1.0511","0.5663","1.6071","0.0000","0.00000","0.0000","0.00000","8.3172","0.0000","0.00000","0.8375","8.8685","2.6723","0.5601","0.04764","4.18848","0.8333","13.592","2.8846","0.14545","0.10395","0.8824","0.2950","0.07194","6.0322","0.5988","0.7968","0.6803","0.7117","0.00000","0.30523","1.250","0.02329","0.06192","0.22701","18.873","1.2987","20.8791","9.464","12.6984","2.3968","0.17590","1.01266","0.5495","0.67568","0.82645","0.3953","0.00000","0","9.890","2.564","5.861","0.00000","0.00000","0.00000","0.54945","0.36630","0.00000","0.00000","0","9.524"
"112","text112",112,1050,35,"32.00","252.8","47.9779","20.3053","12.1170","0.0000","0.92264","9.6774","11.3429","1.49254","2.2363","45.1777","33.0855","2.0472","3.0023","17.9625","0.2055","32.3810","25.585","9.3333","2.4911","7.9439","2.9915","0.0000","2.0000","0.0000","0.9963","2.4024","0.7928","3.5714","0.0000","0.00000","0.0000","0.00000","15.6673","0.6431","0.60423","2.0101","19.5719","11.7048","0.7637","0.00000","4.18848","1.2500","38.058","13.9423","1.23636","1.03950","5.5882","0.8007","0.57554","9.3834","3.2934","4.7809","2.7211","2.1352","0.54585","0.80122","2.750","0.04659","0.18576","0.90806","27.324","5.1948","27.4725","9.464","23.8095","4.1278","1.14336","1.77215","2.1978","2.02703","0.72314","2.3715","0.00000","0","8.857","2.762","5.143","0.09524","0.19048","0.00000","0.00000","0.28571","0.19048","0.00000","0","8.190"
"113","text113",113,296,42.2857142857143,"30.41","261.1","13.8787","6.1069","3.3426","0.0000","0.28389","3.2258","2.9987","0.46642","0.7778","12.9442","11.1524","0.3150","1.1547","5.3619","0.2055","8.5714","6.740","3.0476","0.0000","1.8692","1.2821","0.0000","0.5714","0.0000","0.1245","0.7508","0.0000","1.0714","0.1100","0.00000","0.0000","0.00000","4.6422","0.0000","0.00000","0.5025","4.8930","3.8168","0.2037","0.00000","0.52356","0.8333","13.398","5.7692","0.65455","0.51975","0.2941","0.2528","0.00000","3.4853","0.0000","0.5976","0.0000","0.3559","0.00000","0.07631","0.000","0.00000","0.06192","0.22701","10.256","1.0390","10.9890","3.155","8.4656","2.3968","0.00000","0.00000","0.0000","0.33784","0.00000","0.0000","0.00000","0","10.473","2.027","7.432","0.00000","0.00000","0.00000","0.00000","0.33784","0.67568","0.00000","0","9.459"
"114","text114",114,1334,41.6875,"34.86","252.5","62.4081","27.0229","13.2312","0.0000","0.78070","9.6774","11.8644","2.79851","3.9864","63.2716","43.4944","2.5197","2.0785","26.8097","0.4111","40.0000","30.674","12.9524","2.6690","15.4206","4.7009","0.0000","2.5714","0.0000","0.3736","4.5045","1.1325","4.1071","0.3300","0.15361","0.0000","0.00000","22.2437","0.0000","0.30211","3.3501","20.1835","8.1425","1.7821","0.04764","8.37696","0.4167","55.728","21.6346","1.96364","2.28690","9.1176","0.6321","0.57554","11.9303","5.9880","7.1713","2.0408","1.4235","1.31004","0.80122","0.500","0.09317","0.06192","1.81612","41.346","3.3766","52.1978","8.202","17.4603","3.7284","0.43975","0.50633","1.0989","0.33784","0.30992","2.7668","0.00000","0","10.945","2.624","5.922","0.22489","0.07496","0.00000","0.00000","0.29985","1.49925","0.00000","0","8.846"
